name,id,latitude,longitude,zipcode,rating,url
Watermark LIC,AxnDfngLgCjCGUvV0js_1w,40.746896,-73.9416307,11101,5,https://s3-media2.fl.yelpcdn.com/bphoto/Io65iFbW-jRL8WkTgYO2cw/o.jpg
461 Dean Apartments,PIIGEQtVkrcdIBFSzTOwXQ,40.681981,-73.975388,11217,4,https://s3-media3.fl.yelpcdn.com/bphoto/_Qew470lud22eOLud8y0NQ/o.jpg
Northside Piers,bUPQgdoTRazp2IkO-bpeAw,40.7182094,-73.9625549,11211,4,https://s3-media3.fl.yelpcdn.com/bphoto/8cReNkxh-1_Re8NLT6eOVw/o.jpg
The Sagamore,toJG0ut-yBcKN5hTpDOW8g,40.7898844,-73.9732544,10024,4,https://s3-media4.fl.yelpcdn.com/bphoto/Y-Z1c3lBy2LNUe-atQB48w/o.jpg
Halo,sN9JnJDqHwTz0oXfkgt3xQ,40.7464762,-73.9406585,11101,2,https://s3-media3.fl.yelpcdn.com/bphoto/zjBuWuAPE5NFjvKyX4iZWg/o.jpg
AKA Sutton Place,b5ToVRsaNOIKgJJjqiDojA,40.75787,-73.96457,10022,4,https://s3-media1.fl.yelpcdn.com/bphoto/Tdxqgh-srMAqUptWSKNLcA/o.jpg
Our Lady of Good Counsel SRO,ZJKqRaCHxPsa_V5MYLT36Q,40.687461,-73.92515,11221,1,https://s3-media1.fl.yelpcdn.com/bphoto/5VcaWy0FX4Lpi7KZmQrDaQ/o.jpg
Frontier Luxury Apartments,yU2hcRqObEq_4E_xRdF9NQ,40.74864152,-73.97553988,10016,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/PLBz1qGbDaxyAjCE3_MmXA/o.jpg
Icon Rental Apartments,bcSm33Uxj0vS_yqKkkIPGA,40.76106,-73.987661,10036,4,https://s3-media3.fl.yelpcdn.com/bphoto/mWP8lKEEfP4phbi60kCTFw/o.jpg
DKLB BKLN,FRXjGljtApLBvgr6CIUNNw,40.68978207,-73.9800477,11201,3,https://s3-media2.fl.yelpcdn.com/bphoto/HzCG1faVXGPDzpJmk8rShA/o.jpg
The Apartment,dg3uXghJIXBZ2ib1T6Tbhg,40.74090576,-74.00679016,10014,3.5,https://s3-media3.fl.yelpcdn.com/bphoto/NU2MEXi50VOoKbS0hxPFtg/o.jpg
Mandalay on the Hudson,bJFr7DkaYoUFGzynx4sOAQ,40.721647,-74.033125,7302,4,https://s3-media1.fl.yelpcdn.com/bphoto/8Gs8lHXQaCdzU5lSbFcbTw/o.jpg
Harrison Urby,cljjjqrhA5KaCo1aM_o_kQ,40.74099,-74.15966,7029,4,https://s3-media1.fl.yelpcdn.com/bphoto/w4G1njuxWQRqaIYh7UzydQ/o.jpg
The Lexington,hXqcQmqSBHQY5H7B2h9nHw,40.7452803,-74.0351007,7030,5,https://s3-media4.fl.yelpcdn.com/bphoto/MWONxcdmYqGRM5bG5TUizA/o.jpg
Kings and Queens Apartments,3jTxai8oOnjcR1iDX3FMtQ,40.729032,-73.858493,11374,1.5,https://s3-media3.fl.yelpcdn.com/bphoto/3ae8rXPYX8BnQD7VwnJccw/o.jpg
The Colorado,l_k8-eI5WOv9cvd0QHeQ7w,40.77872101,-73.95357842,10028,4,https://s3-media4.fl.yelpcdn.com/bphoto/yI5BcZTFD3jll-6KgH2CBw/o.jpg
Mantena Apartments,Ygv35KqSzh30GH8jFCvBcQ,40.756128,-73.996423,10018,3.5,https://s3-media1.fl.yelpcdn.com/bphoto/oU0tvRgPQA6jWVjsJoAtdQ/o.jpg
The Nathaniel,smb4f7Hb1rZpRU3jMg0D5Q,40.7321287,-73.9886136,10003,2,https://s3-media2.fl.yelpcdn.com/bphoto/ovcHmpFKRywDOX1CZhywxA/o.jpg
Big Apple Living,mHz_9IQNuTI9uxtLGFGDLQ,40.746903,-73.988146,10001,3,https://s3-media1.fl.yelpcdn.com/bphoto/efgNDZztRHsb1Mw6_oMXpA/o.jpg
TOWNSEND,RLN4OifDqOG6hgeTdBAjZw,40.75493,-73.99431,10018,4,https://s3-media4.fl.yelpcdn.com/bphoto/jy45VLtmg3BNs-Njh0459Q/o.jpg
Chelsea Stratus Condo,Aszx2T1dRYGm3tuZC4M4oQ,40.74401,-73.9924,10011,5,https://s3-media4.fl.yelpcdn.com/bphoto/NyFWp687ItCjJZxLE2TLyg/o.jpg
NYC Brooklyn Apartment & Bed and Breakfast,PofkjY84o6-HZer7QOUsuw,40.687489,-73.9764947,11217,4,https://upload.wikimedia.org/wikipedia/commons/0/0a/Central_Park_during_Autumn%2C_NYC.jpg
Wood Vitalize,-7ZbguxWLcwcVhj71bMsrQ,40.77481079,-73.95900726,10075,5,https://s3-media2.fl.yelpcdn.com/bphoto/hQtRIR2Dsrv04kGLbYYRaA/o.jpg
West 54th Apartments,nOVcq5BQgCDzwmPQaCwKOA,40.7675688,-73.9901193,10019,3.5,https://s3-media3.fl.yelpcdn.com/bphoto/2cXI0xVga1Ll0ua_kfkGgg/o.jpg
Avalon Union,r9HMY3Aa1gpa1gzsgJsPxA,40.708313,-74.27837,7083,4.5,https://s3-media1.fl.yelpcdn.com/bphoto/ecK7amyO1dLYJTkOvsD0iw/o.jpg
