uid,name,url,latitude,longitude,zipcode,rating,cluster,starting_price,res_score,bus_score,subway_score,traffic_score,res_score_raw,bus_score_raw,subway_score_raw
49,The Modern,https://s3-media2.fl.yelpcdn.com/bphoto/sN6uvqATIQUk3kBKu6TsyQ/o.jpg,40.85272853,-73.96675963,7024,4,36,1150,4.296657214,3.818597735,1.602910384,2.710754059,85.93314427,76.3719547,32.05820767
50,Windsor at Liberty House,https://s3-media1.fl.yelpcdn.com/bphoto/av9Avt_QdrXVTsHdYmxqmw/o.jpg,40.713559,-74.038973,7302,4.5,84,1033.333333,1.5,2.967924402,3.250057445,3.108990924,30,59.35848804,65.0011489
51,City Tower,https://s3-media3.fl.yelpcdn.com/bphoto/AYAWX6ppd-MqWDyJ2QQRUw/o.jpg,40.6911205,-73.9823872,11201,3.5,40,3125,1.5,1.721469016,2.89638941,2.308929213,30,34.42938032,57.92778819
52,170 Amsterdam Apartments,https://s3-media2.fl.yelpcdn.com/bphoto/vEoWoHvn5Tz6QNjEqY5ALw/o.jpg,40.77593,-73.98382,10023,4,94,1863.772832,1.5,3.954146638,4.426665623,4.190406131,30,79.08293276,88.53331246
53,Orion Condos,https://s3-media2.fl.yelpcdn.com/bphoto/-TAeFL46zEfDqnAKDQK-HA/o.jpg,40.7578699,-73.99227,10036,5,155,1333.333333,3.296273002,3.714033166,1.726080879,2.720057022,65.92546003,74.28066332,34.52161757
54,20 Exchange Place Apartments,https://s3-media3.fl.yelpcdn.com/bphoto/s_CEGk-9dH7urocY66idBA/o.jpg,40.7056777,-74.0094714,10005,3,147,1300,5,2.377853046,2.773938347,2.575895696,100,47.55706091,55.47876693
55,Noonan Towers,https://s3-media3.fl.yelpcdn.com/bphoto/tz0LFLM8a2qMwU52-7St2A/o.jpg,40.83074,-73.9295999,10452,5,89,987.1875699,1.5,3.125071791,0,1.562535896,30,62.50143582,0
56,Tribeca Park Luxury Apartments,https://s3-media2.fl.yelpcdn.com/bphoto/ngdjzonqz1_0zkhRzzta7A/o.jpg,40.71791202,-74.01479602,10282,4.5,125,914.1050099,3.646407476,3.688544707,1.227830929,2.458187818,72.92814952,73.77089414,24.55661858
57,34 Berry,https://s3-media2.fl.yelpcdn.com/bphoto/2yLuGuysIC1jBpQj2ke4yg/o.jpg,40.7213263,-73.9564168,11249,4.5,99,1343.042214,3.483845042,3.8612806,4.579612728,4.220446664,69.67690083,77.225612,91.59225455
58,Avalon Willoughby Square,https://s3-media3.fl.yelpcdn.com/bphoto/qc5P7uqrDPiFoE5knlNjhw/o.jpg,40.6918,-73.98449,11201,3.5,40,1900,1.5,3.934406282,0.377977683,2.156191982,30,78.68812564,7.559553659
59,Chelsmore Apartments,https://s3-media3.fl.yelpcdn.com/bphoto/c2aSwbwxUyH6X9375VhPOA/o.jpg,40.73964,-73.99986,10011,4,77,1542.219137,1.5,0,3.207363973,1.603681987,30,0,64.14727946
60,INSTRATA Gramercy Apartments,https://s3-media4.fl.yelpcdn.com/bphoto/v5m6iBxZFkHIaUiMMniC5A/o.jpg,40.7385802,-73.9836842,10010,3.5,2,2450,5,3.725621548,3.238109549,3.481865548,100,74.51243095,64.76219097
61,The Vanguard Chelsea,https://s3-media3.fl.yelpcdn.com/bphoto/LQwm9jrNtJdOONZx4I8IDA/o.jpg,40.74358,-73.9919199,10010,4,146,931.6666667,3.296273002,3.628552092,1.888264794,2.758408443,65.92546003,72.57104184,37.76529588
62,66 Rockwell Apartments,https://s3-media3.fl.yelpcdn.com/bphoto/X8gteT-aTphECi8B9rf8hw/o.jpg,40.68815358,-73.97940346,11217,4,190,1310.715099,2.045792737,3.868445411,4.416666335,4.142555873,40.91585473,77.36890821,88.3333267
