,name,latitude,longitude,zipcode,rating,categories,transactions,cluster,centroids
64,Sobak,40.71497048,-73.99158544,10002,5,"[{'alias': 'korean', 'title': 'Korean'}]",[],62,0
65,Yakiniku Toraji,40.75105,-73.97278,10017,4.5,"[{'alias': 'bbq', 'title': 'Barbeque'}]",[],88,0
66,Yakitori Taisho,40.729516,-73.98927,10003,3.5,"[{'alias': 'japanese', 'title': 'Japanese'}]","['pickup', 'delivery']",109,0
67,Ippudo Westside,40.76344,-73.98661,10019,4,"[{'alias': 'ramen', 'title': 'Ramen'}]","['pickup', 'delivery']",184,0
68,Sushi Gallery,40.69759707,-73.99336608,11201,4.5,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]",['delivery'],19,0
69,Boomshakalaka NY,40.69245,-73.99137,11201,4.5,"[{'alias': 'desserts', 'title': 'Desserts'}]",[],19,0
70,Evelina,40.689722,-73.971003,11205,4.5,"[{'alias': 'italian', 'title': 'Italian'}]","['pickup', 'delivery']",73,0
71,Charles?? Pan Fried Chicken,40.77796,-73.98054,10023,4,"[{'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",[],94,0
72,Coco Bistro,40.70757,-74.00184,10038,4.5,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",[],105,0
73,The Hugh,40.75878,-73.97048,10022,4.5,"[{'alias': 'food_court', 'title': 'Food Court'}]",[],66,0
74,Jasleen Deli,40.6846109,-73.950225,11216,4.5,"[{'alias': 'delis', 'title': 'Delis'}]",[],163,0
75,Farmers Market at Brooklyn Bridge Park's Pier 6,40.692036,-74.000534,11201,5,"[{'alias': 'farmersmarket', 'title': 'Farmers Market'}]",[],175,0
76,La Bonbonniere,40.73777,-74.00433627,10014,4,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'diners', 'title': 'Diners'}]",['delivery'],122,0
77,Sauced,40.71267014,-73.96231945,11211,4,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",['delivery'],165,0
78,Bernie's,40.721936,-73.950597,11222,4.5,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",[],99,0
79,Walter's,40.68941116,-73.97325897,11217,4,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","['pickup', 'delivery']",190,0
80,Van ?a,40.72341,-73.98307,10009,4,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]","['pickup', 'delivery']",154,0
81,Rice Noodle Cart,40.717931,-74.000283,10013,4.5,"[{'alias': 'cantonese', 'title': 'Cantonese'}, {'alias': 'streetvendors', 'title': 'Street Vendors'}]",['delivery'],86,0
82,Steak Freak,40.75455834,-73.98425339,10020,4.5,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'steak', 'title': 'Steakhouses'}]",[],98,0
83,Nami Nori,40.71913965,-73.95284073,11211,4.5,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]",[],99,0
84,Maru 2,40.74163627,-74.00073601,10011,4.5,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'korean', 'title': 'Korean'}]","['pickup', 'delivery']",77,0
