"","BoroName","LATITUDE","LONGITUDE"
"1977","Manhattan",40.79976,-73.944579
"1978","Manhattan",40.798226,-73.940402
"1979","Manhattan",40.830693,-73.947585
"1980","Manhattan",40.773121,-73.957975
"1981","Manhattan",40.856262,-73.933028
"1982","Manhattan",40.825223,-73.947343
"1983","Manhattan",40.826054,-73.949862
"1984","Manhattan",40.824797,-73.940344
"1985","Manhattan",40.826152,-73.939364
"1986","Manhattan",40.843266,-73.934292
"1987","Manhattan",40.845269,-73.932826
"1988","Manhattan",40.773964,-73.95677
"1989","Manhattan",40.730392,-73.98007
"1990","Manhattan",40.774531,-73.957617
"1991","Manhattan",40.776423,-73.955568
"1992","Manhattan",40.782203,-73.951349
"1993","Manhattan",40.770635,-73.962452
"1994","Manhattan",40.770413,-73.962439
"1995","Manhattan",40.760696,-73.968848
"1996","Manhattan",40.751162,-73.975651
"1997","Manhattan",40.751449,-73.975807
"1998","Manhattan",40.739708,-73.984959
"1999","Manhattan",40.73922,-73.98433
"2000","Manhattan",40.740843,-73.987655
"2001","Manhattan",40.747613,-73.973989
"2002","Manhattan",40.751106,-73.980403
"2003","Manhattan",40.771796,-73.965225
"2004","Manhattan",40.728692,-73.976031
"2005","Queens",40.740759,-73.931329
"2006","Manhattan",40.747359,-73.981816
"2007","Manhattan",40.740463,-73.986767
"2008","Manhattan",40.739915,-73.985993
"2009","Manhattan",40.746493,-73.990025
"2010","Manhattan",40.750147,-73.987366
"2011","Manhattan",40.755954,-73.983142
"2012","Manhattan",40.756937,-73.98241
"2013","Manhattan",40.761966,-73.978762
"2014","Manhattan",40.763799,-73.977426
"2015","Manhattan",40.76603,-73.97981
"2016","Manhattan",40.763779,-73.98146
"2017","Manhattan",40.753971,-73.98863
"2018","Manhattan",40.748914,-73.992286
"2019","Manhattan",40.751943,-73.993118
"2020","Manhattan",40.757497,-73.990146
"2021","Manhattan",40.782069,-73.978952
"2022","Manhattan",40.782052,-73.972019
"2023","Manhattan",40.785304,-73.969632
"2024","Manhattan",40.785605,-73.969777
"2025","Manhattan",40.791663,-73.965001
"2026","Manhattan",40.79676,-73.964828
"2027","Manhattan",40.786488,-73.972444
"2028","Manhattan",40.781084,-73.97627
"2029","Manhattan",40.775364,-73.980433
"2030","Manhattan",40.770078,-73.984312
"2031","Manhattan",40.76773,-73.98599
"2032","Manhattan",40.766474,-73.986943
"2033","Manhattan",40.763333,-73.989231
"2034","Manhattan",40.753138,-73.995951
"2035","Manhattan",40.746156,-74.000761
"2036","Manhattan",40.749159,-74.002928
"2037","Manhattan",40.754361,-73.998876
"2038","Manhattan",40.761601,-74.00046
"2039","Manhattan",40.762987,-73.992883
"2040","Manhattan",40.764239,-73.99197
"2041","Manhattan",40.770053,-73.991062
"2042","Manhattan",40.778863,-73.981305
"2043","Manhattan",40.783141,-73.978033
"2044","Manhattan",40.783386,-73.978013
"2045","Manhattan",40.7877,-73.9753
"2046","Manhattan",40.794256,-73.970069
"2047","Manhattan",40.802743,-73.96356
"2048","Manhattan",40.806976,-73.960795
"2049","Manhattan",40.80659,-73.961378
"2050","Manhattan",40.807879,-73.960431
"2051","Manhattan",40.808357,-73.959788
"2052","Manhattan",40.809117,-73.959528
"2053","Manhattan",40.809548,-73.958921
"2054","Manhattan",40.81384,-73.956494
"2055","Manhattan",40.81284,-73.956
"2056","Manhattan",40.821005,-73.95055
"2057","Manhattan",40.82375,-73.948843
"2058","Manhattan",40.825021,-73.947912
"2059","Manhattan",40.825502,-73.947262
"2060","Manhattan",40.825245,-73.947881
"2061","Manhattan",40.832005,-73.942836
"2062","Manhattan",40.835522,-73.94024
"2063","Manhattan",40.848314,-73.930898
"2064","Manhattan",40.856903,-73.935884
"2065","Manhattan",40.851155,-73.938083
"2066","Manhattan",40.850636,-73.9385
"2067","Manhattan",40.845883,-73.94043
"2068","Manhattan",40.83995,-73.943251
"2069","Manhattan",40.849148,-73.934014
"2070","Manhattan",40.827504,-73.942849
"2071","Manhattan",40.817334,-73.948044
"2072","Manhattan",40.81044,-73.952067
"2073","Manhattan",40.811363,-73.954278
"2074","Manhattan",40.812432,-73.938036
"2075","Manhattan",40.806618,-73.942477
"2076","Manhattan",40.808032,-73.945816
"2077","Manhattan",40.820726,-73.93665
"2078","Manhattan",40.821686,-73.939451
"2079","Manhattan",40.821419,-73.939486
"2080","Manhattan",40.815121,-73.944064
"2081","Manhattan",40.815526,-73.943314
"2082","Manhattan",40.809246,-73.948377
"2083","Manhattan",40.808713,-73.947969
"2084","Manhattan",40.809281,-73.94878
"2085","Manhattan",40.80992,-73.950851
"2086","Manhattan",40.810455,-73.951579
"2087","Manhattan",40.822598,-73.941619
"2088","Manhattan",40.870953,-73.914653
"2089","Manhattan",40.86973,-73.916251
"2090","Manhattan",40.867912,-73.920105
"2091","Manhattan",40.867579,-73.921857
"2092","Manhattan",40.866982,-73.92353
"2093","Manhattan",40.84995,-73.93575
"2094","Manhattan",40.84999,-73.936045
"2095","Manhattan",40.840289,-73.940096
"2096","Manhattan",40.832589,-73.946203
"2097","Manhattan",40.826704,-73.950029
"2098","Manhattan",40.824041,-73.951962
"2099","Manhattan",40.823131,-73.953102
"2100","Manhattan",40.82132,-73.95394
"2101","Manhattan",40.818623,-73.956399
"2102","Manhattan",40.818617,-73.955935
"2103","Manhattan",40.811186,-73.964278
"2104","Manhattan",40.807774,-73.963843
"2105","Manhattan",40.807816,-73.964288
"2106","Manhattan",40.806579,-73.965187
"2107","Manhattan",40.805321,-73.966098
"2108","Manhattan",40.803827,-73.966143
"2109","Manhattan",40.803072,-73.967271
"2110","Manhattan",40.801548,-73.96767
"2111","Manhattan",40.801075,-73.968114
"2112","Manhattan",40.7996,-73.968522
"2113","Manhattan",40.798313,-73.969363
"2114","Manhattan",40.797964,-73.969147
"2115","Manhattan",40.797024,-73.970297
"2116","Manhattan",40.791936,-73.974023
"2117","Manhattan",40.791645,-73.973753
"2118","Manhattan",40.790655,-73.974979
"2119","Manhattan",40.789473,-73.97584
"2120","Manhattan",40.78977,-73.975116
"2121","Manhattan",40.788562,-73.976031
"2122","Manhattan",40.78816,-73.976885
"2123","Manhattan",40.786861,-73.977984
"2124","Manhattan",40.785973,-73.978171
"2125","Manhattan",40.784062,-73.979589
"2126","Manhattan",40.783663,-73.980369
"2127","Manhattan",40.783893,-73.980361
"2128","Manhattan",40.782667,-73.980506
"2129","Manhattan",40.781572,-73.981336
"2130","Manhattan",40.781258,-73.981033
"2131","Manhattan",40.780117,-73.981783
"2132","Manhattan",40.779076,-73.982476
"2133","Manhattan",40.776866,-73.982315
"2134","Manhattan",40.776562,-73.981917
"2135","Manhattan",40.776217,-73.987264
"2136","Manhattan",40.77197,-73.982385
"2137","Manhattan",40.769513,-73.982315
"2138","Manhattan",40.769496,-73.981907
"2139","Manhattan",40.731317,-73.982279
"2140","Manhattan",40.72961,-73.97826
"2141","Manhattan",40.729474,-73.978365
"2142","Manhattan",40.785693,-73.948801
"2143","Manhattan",40.73153,-74.006532
"2144","Manhattan",40.787422,-73.947546
"2145","Manhattan",40.733062,-73.974696
"2146","Manhattan",40.727123,-74.003227
"2147","Manhattan",40.73332,-74.008751
"2148","Manhattan",40.733339,-74.006239
"2149","Manhattan",40.727301,-73.976337
"2150","Manhattan",40.73125,-73.98215
"2151","Manhattan",40.725093,-73.984104
"2152","Manhattan",40.712594,-73.989583
"2153","Manhattan",40.727047,-73.982941
"2154","Manhattan",40.726304,-73.977058
"2155","Manhattan",40.726973,-73.982741
"2156","Manhattan",40.713353,-73.980751
"2157","Manhattan",40.745389,-74.005701
"2158","Manhattan",40.770604,-73.987329
"2159","Manhattan",40.739446,-73.991252
"2160","Manhattan",40.741317,-73.989891
"2161","Manhattan",40.745124,-73.987113
"2162","Manhattan",40.747525,-73.98537
"2163","Manhattan",40.747081,-73.993654
"2164","Manhattan",40.743811,-73.995246
"2165","Manhattan",40.745548,-73.99886
"2166","Manhattan",40.746796,-73.980932
"2167","Manhattan",40.729927,-73.974732
"2168","Manhattan",40.728713,-73.97562
"2169","Manhattan",40.779568,-73.984181
"2170","Manhattan",40.779635,-73.984749
"2171","Manhattan",40.775115,-73.987307
"2172","Manhattan",40.7739,-73.984494
"2173","Manhattan",40.800358,-73.962207
"2174","Manhattan",40.786227,-73.972511
"2175","Manhattan",40.782814,-73.975002
"2176","Manhattan",40.777146,-73.979137
"2177","Manhattan",40.780776,-73.979907
"2178","Manhattan",40.784652,-73.977087
"2179","Manhattan",40.785921,-73.976159
"2180","Manhattan",40.792298,-73.971507
"2181","Manhattan",40.795539,-73.969136
"2182","Manhattan",40.798094,-73.967274
"2183","Manhattan",40.800674,-73.9654
"2184","Manhattan",40.800193,-73.965402
"2185","Manhattan",40.813624,-73.960052
"2186","Manhattan",40.816624,-73.953745
"2187","Manhattan",40.817867,-73.952837
"2188","Manhattan",40.812026,-73.960741
"2189","Manhattan",40.815245,-73.958086
"2190","Manhattan",40.814843,-73.959157
"2191","Manhattan",40.829006,-73.937575
"2192","Manhattan",40.830632,-73.936381
"2193","Manhattan",40.81041,-73.951148
"2194","Manhattan",40.815011,-73.936132
"2195","Manhattan",40.813812,-73.940424
"2196","Manhattan",40.803551,-73.953039
"2197","Manhattan",40.801683,-73.949143
"2198","Manhattan",40.799397,-73.954986
"2199","Manhattan",40.795787,-73.947784
"2200","Manhattan",40.791967,-73.946598
"2201","Manhattan",40.81041,-73.937101
"2202","Manhattan",40.784257,-73.943824
"2203","Manhattan",40.787168,-73.953762
"2204","Manhattan",40.791548,-73.944363
"2205","Manhattan",40.846803,-73.939834
"2206","Manhattan",40.853943,-73.933948
"2207","Manhattan",40.852308,-73.92798
"2208","Manhattan",40.835079,-73.937764
"2209","Manhattan",40.837521,-73.944233
"2210","Manhattan",40.844494,-73.940976
"2211","Manhattan",40.863106,-73.930153
"2212","Manhattan",40.832457,-73.939932
"2213","Manhattan",40.845924,-73.932635
"2214","Manhattan",40.856351,-73.928754
"2215","Manhattan",40.749468,-73.999331
"2216","Manhattan",40.790097,-73.969696
"2217","Manhattan",40.752536,-73.970387
"2218","Manhattan",40.85487,-73.937071
"2219","Manhattan",40.791017,-73.972419
"2220","Manhattan",40.858726,-73.934533
"2221","Manhattan",40.740606,-74.004781
"2222","Manhattan",40.86557,-73.926832
"2223","Manhattan",40.806194,-73.94253
"2224","Manhattan",40.831826,-73.942644
"2225","Manhattan",40.854415,-73.933479
"2226","Manhattan",40.776247,-73.986886
"2227","Manhattan",40.726906,-73.976911
"2228","Manhattan",40.714915,-73.982913
"2229","Manhattan",40.852567,-73.934659
"2230","Manhattan",40.730775,-74.001425
"2231","Manhattan",40.747275,-73.9832
"2232","Manhattan",40.733097,-73.999796
"2233","Manhattan",40.741712,-73.987259
"2234","Manhattan",40.734938,-73.998448
"2235","Manhattan",40.743004,-73.986306
"2236","Manhattan",40.742277,-73.985028
"2237","Manhattan",40.743871,-73.98806
"2238","Manhattan",40.732884,-74.010059
"2239","Queens",40.77262,-73.905868
"2240","Queens",40.771062,-73.903386
"2241","Queens",40.768211,-73.897499
"2242","Queens",40.776299,-73.901739
"2243","Queens",40.770942,-73.908524
"2244","Queens",40.767743,-73.91198
"2245","Queens",40.763855,-73.914742
"2246","Queens",40.763927,-73.915244
"2247","Queens",40.780299,-73.91687
"2248","Queens",40.776743,-73.921214
"2249","Queens",40.765371,-73.931397
"2250","Queens",40.763006,-73.933647
"2251","Queens",40.762621,-73.934338
